name,website,logo,narrative,company_reponse,privacy_email,privacy_policy,CA_broker,VT_broker
1010Data,https://www.1010data.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/1010data.png,"Company <a href='https://1010data.com/insights-platform/market-intelligence/#' target='_blank'>says</a> it can “track the purchasing behaviors of millions of US consumers, in-store and online, with a robust history of consumer spending and shopper behavior data to gain an actionable, total-market view.”
",Did not respond. ,privacy@1010data.com,https://www.1010data.com/privacy-policy/,FALSE,FALSE
Acxiom,http://www.acxiom.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/acxiom-logo.jpeg,"Company <a href='https://www.acxiom.com/wp-content/uploads/2020/07/ac-2171-19-fs-acxiom-signals.pdf' target='_blank'>uses</a> “a combination of location-based device data combined with Acxiom
descriptive and predictive data to create audiences that show specific interests or in-market tendencies
based on the consumers’ actual visits to stores and dealerships and making purchases at specific stores or with specific brands.”
","""Acxiom does not collect or license movement data in the U.S., and no location data is used at the personally identifiable level."" —Matt Ramsey, Acxiom spokesperson ",consumeradvo@acxiom.com,https://www.acxiom.com/about-us/privacy/highlights-for-us-products-privacy-policy/,TRUE,TRUE
AdSquare,https://www.adsquare.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/adsquare_logo.jpeg,"Company <a href='https://www.adsquare.com/location-insights/' target='_blank'>says</a> that they “overlay mobile SDK derived, background location data over specific Points of Interest (POI) locations” and “are able to calculate foot traffic and/or identify audience segments walking by or into the given locations at any given day and time.”
","“Adsquare doesn’t collect location data. Adsquare sources and aggregates location data from a variety of suppliers.” —Christoph Herwig, Adsquare VP marketing",privacy@adsquare.com,https://www.adsquare.com/privacy/,FALSE,FALSE
ADVAN,https://advanresearch.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/advan_logo.jpeg,"Company <a href='https://advanresearch.com/' target='_blank'>says</a> they have “the largest and most accurate data in the market, from hundreds of millions of cellphones,” and “300 billion monthly data points since 2015” as well as “100+ observations per device per day.”

","“What we provide is just aggregated metrics—what you would get if you would sit outside a Walmart with a people counter every day for the last five years, we will just give it to you.” —Yiannis Tsiounis, CEO Advan Research",privacy@advanresearch.com,https://advanresearch.com/privacy_policy,FALSE,FALSE
Airsage,https://www.airsage.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/airsage_logo.png,"Company <a href='https://www.airsage.com/' taregt='_blank'>says</a> their data “includes an average of 250+ million unique devices, perfect for sample selection,” with a GPS data panel that “goes back to January 2017 for historical trend analysis.”",Did not respond. ,support@airsage.com,https://www.airsage.com/airsage-privacy-policy/,FALSE,FALSE
Amass Insights,https://amassinsights.com/#/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/amass_insights.jpeg,"Company <a href='https://amassinsights.com/#/about-us' target='_blank'>says</a>: “In this new era of alternative data, acquiring the right data requires countless hours and resources dedicated to sourcing, vetting, cleaning, analysis, & implementation, as well as endless back-and-forth vendor communication.” 
","""We are not a location data broker per se and are most similar to Datarade actually.""  —Jordan Hauer, CEO Amass Insights
",info@amassinsights.com.,https://amassinsights.com/#/privacy-policy,FALSE,FALSE
Alqami,https://www.alqami.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/alqami_logo.png,"Company <a href='https://www.alqami.com/data-directory' target='_blank'>says</a> it specializes in “sourcing large, esoteric, data sets and finding investment managers and corporates who would find value in having this information edge. Sectors that we currently cover, include ... Geolocation....”
",Did not respond. ,enquiries@alqami.com,https://www.alqami.com/privacy-policy,FALSE,FALSE
Amazon AWS Data Exchange,https://aws.amazon.com/data-exchange/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/amazon_aws_logo.jpeg,"Company <a href='https://aws.amazon.com/data-exchange/' target='_blank'>says</a> its data providers include “Foursquare, whose location data is derived from 220 million unique consumers and includes more than 60 million global commercial venues.”
","“Only qualified data providers will have access to the AWS Data Exchange. Potential data providers are put through a rigorous application process.” —Claude Shy, Amazon spokesperson  ",No email: https://console.aws.amazon.com/support/home,https://aws.amazon.com/privacy/,FALSE,FALSE
Anomaly 6,https://www.anomalysix.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/anomaly_six_logo.png,"The Wall Street Journal <a href='https://www.wsj.com/articles/u-s-government-contractor-embedded-software-in-apps-to-track-phones-11596808801' target='_blank'>reported</a> that Anomaly Six collects location data from hundreds of millions of mobile phones via more than 500 mobile apps and provides global location data to U.S. government agencies. 


","Did not respond. 

In August 2020, a spokesperson for Anomaly Six told the WSJ: “Anomaly Six is a veteran-owned small business that processes and visualizes location data sourced from mobile devices for analytics and insights.”
Source: https://www.wsj.com/articles/u-s-government-contractor-embedded-software-in-apps-to-track-phones-11596808801",N/A,N/A,FALSE,FALSE
Babel Street,http://babelstreet.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/babel_street.jpeg,Protocol <a href='https://www.protocol.com/government-buying-location-data' target='_blank'>reported</a> that Babel Street licenses an unadvertised product called Locate X to U.S. Customs and Border Protection. ,"Did not respond. 

In March 2020, Babel Street spokesperson Lacy Talton told Protocol, “Although data content is freely available without restriction from thousands of vendors and suppliers, Babel Street employs a variety of measures to ensure appropriate use of the data.”

Source: https://www.protocol.com/fintech/binance-regulation-crypto",privacy@babelstreet.com,https://babelstreet.com/privacy-policy,FALSE,FALSE
Blis,https://blis.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/blis_logo.jpeg,"Company <a href='https://blis.com/about-us/' target='_blank'>says</a>: “Using‌ ‌our‌ ‌370m‌ ‌opted-in‌ ‌global‌ ‌planning‌ ‌and‌ ‌measurement‌ ‌panel‌ ‌and‌ ‌taking‌ ‌an‌ ‌aggregated‌ ‌and‌ ‌anonymous‌ ‌approach‌ ‌to‌ ‌audience‌ ‌targeting,‌ ‌Blis‌ ‌reaches‌ ‌precise‌ ‌audiences‌ ‌at‌ ‌scale‌ ‌without‌ ‌reliance‌ ‌on‌ ‌personal‌ ‌data.‌” ‌ ‌",Did not respond. ,privacy@blis.com,https://blis.com/privacy-centre/,FALSE,FALSE
Complementics,https://www.complementics.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/complementics_logo.jpeg,"Company <a href='https://www.complementics.com/mobile-audiences-targeting/' target='_blank'>says</a> customers “have access to the data that we collect and update minute-by-minute. With more than 1 billion devices globally, we're a leader in the mobile data offering space.”",Did not respond. ,privacy@complementics.com,http://www.complementics.com/optout-donotsell,FALSE,FALSE
Cuebiq,http://www.cuebiq.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/cuebiq_logo.jpeg,"Company <a href='https://www.cuebiq.com/' target='_blank'>says</a> it has “the privacy-safe location data you need, plus the tools and expertise to quickly build custom solutions.” Advertises that its data can be used for “measuring the impact of your advertising dollars, planning where to open the next store or predicting market trends.”","“We do not publicly release a list of our partner apps for competitive reasons. The end users of any app working with Cuebiq though will know that Cuebiq is a partner of the app and will receive the consent window above, that is what matters.” —Bill Daddi, spokesperson for Cuebiq",privacy@cuebiq.com,https://www.cuebiq.com/privacy-request/,FALSE,FALSE
Datarade,https://datarade.ai/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/datarade_logo.jpeg,"Company <a href='https://datarade.ai/' target='_blank'>offers</a> to visitors the ability to ""choose the right location data with confidence. Skip months of research. Find, compare, and choose the right data for your business.... Find the best offer from 2,000+ data providers worldwide.""",Did not respond. ,privacy@datarade.ai,https://about.datarade.ai/legal/privacy-policy,FALSE,FALSE
Foursquare,https://foursquare.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/foursquare_logo.jpeg,Company <a href='https://foursquare.com/products/audience/' target='_blank'>says</a>: “Reach customers based on real-world movement. Take your marketing investment further by using location data to better understand your customers and target them on their journey towards your brand.”,"“Foursquare receives location data from a few types of sources: owned and operated applications, apps that use our location tools (when the app developer permits us to use such data), and carefully vetted suppliers.” —Ashley Dawkins, Foursquare VP of communications",privacy@foursquare.com,https://foursquare.com/legal/privacy,TRUE,TRUE
Gimbal,https://gimbal.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/gimbal_logo.jpeg,"Company <a href='https://gimbal.com/instadium/' target='_blank'>says</a>: “Leverage our always-on location data to accurately identify fans who have been directly exposed to your in-stadium signage.”
",Did not respond. ,privacy@gimbal.com,https://gimbal.com/legal/#privacy,FALSE,FALSE
Gravy Analytics,https://gravyanalytics.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/gravy_analytics.jpeg,"Company <a href='https://gravyanalytics.com/our-data/#dataaggregation' target='_blank'>says</a> its location data platform ""aggregates raw location signals in the cloud from many different data providers and tens of thousands of apps.""
",Did not respond. ,privacy@gravyanalytics.com,https://gravyanalytics.com/request-your-information/,TRUE,TRUE
GroundTruth,http://www.groundtruth.com/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/ground_truth_logo.jpeg,Company <a href='https://www.groundtruth.com/' target='_blank'>says</a> it has “the highest quality data and it's verified through an independent accuracy audit.” Marketing highlights: “120 Million Unique Monthly Users / 100 Million places and points of interest / 30 Billion visits annually.”,Did not respond. ,requests@groundtruth.com,https://www.groundtruth.com/privacy-policy/,TRUE,FALSE
Huq Industries,https://huq.io/,https://mrkp-static-production.themarkup.org/graphics/location-data-grid/1632938656429/assets/logos/huq_logo.jpeg,"Company <a href='https://huq.io/data/' target='_blank'>says</a> its data “is sourced exclusively using our own specialised software from carefully selected mobile app partners. This first-party relationship allows us to guarantee control over data quality and the collection of end-user consent.”
",Did not respond. ,hello@huq.io,https://huq.io/privacy-policy/#a,FALSE,FALSE
